220,Almirante Tamandaré do Sul
221,Almoço (Bragança)
222,Almofala (Itarema)
223,Aloândia
224,Alpercata
225,Alpestre
226,Alpinópolis
227,Alta Floresta
228,Alta Floresta D'Oeste
229,Altair
230,Altamira
231,Altamira do Maranhão
232,Altamira do Paraná
233,Altaneira
234,Altaneira (Maringá)
235,Alta Pará (Santarém)
236,Alter do Chão (Santarém)
237,Alterosa
238,Altinho
239,Altinópolis
240,Alto Alegre
241,Alto Alegre
242,Alto Alegre
243,Alto Alegre (Capinzal)
244,Alto Alegre (Cerrito)
245,Alto Alegre (Colorado)
246,Alto Alegre do Iguaçu (Capitão Leônidas Marques)
247,Alto Alegre do Maranhão
248,Alto Alegre do Pindaré
249,Alto Alegre dos Parecis
250,Alto Alegre (Pedro Osório)
251,Alto Alegre (Umuarama)
252,Alto Alvorada (Orizona)
253,Alto Amparo (Telêmaco Borba)
254,Alto Araguaia
255,Alto Bela Vista
256,Alto Belo (Bocaiúva)
257,Alto Boa Vista
258,Alto Bonito (Mundo Novo)
259,Alto Calçado (São José do Calçado)
260,Alto Caldeirão (Santa Teresa)
261,Alto Caparaó
262,Alto Capim (Aimorés)
263,Alto Castelinho (Vargem Alta)
264,Alto Coité (Poxoréu)
265,Alto da Serra (Chapecó)
266,Alto da União (Ijuí)
267,Alto de Santa Helena (Governador Valadares)
268,Alto do Amparo (Tibagi)
269,Alto do Rodrigues
270,Alto Erval Novo (Três Passos)
271,Alto Feliz
272,Alto Garças
273,Alto Horizonte
274,Alto Jequitibá
275,Alto Juruena (Comodoro)
276,Altolândia (Tapiraí)
277,Alto Lindo (Ibiapina)
278,Alto Longá
279,Alto Maranhão (Congonhas)
280,Alto Mutum Preto (Baixo Guandu)
281,Altônia
282,Alto Pará (Cascavel)
283,Alto Paraguai
284,Alto Paraíso
285,Alto Paraíso
286,Alto Paraíso (Alta Floresta)
287,Alto Paraíso de Goiás
288,Alto Paraná
289,Alto Paredão (Santa Cruz do Sul)
290,Alto Parnaíba
291,Alto Piquiri
292,Alto Porã (Ivaiporã)
293,Alto Porã (Pedregulho)
294,Alto Recreio (Ronda Alta)
295,Alto Rio Doce
296,Alto Rio Novo
297,Altos
298,Alto Sabiá (Guarapuava)
299,Alto Santa Fé (Nova Santa Rosa)
300,Alto Santa Maria (Santa Teresa)
301,Alto Santo
302,Alto São João (Roncador)
303,Alto Sucuriú (Paraíso das Águas)
304,Altos Verdes (Carira)
305,Alto Taquari
306,Alto Uruguai (Tiradentes do Sul)
307,Alto Uruguai (Três Passos)
308,Alumínio
309,Alvação (Coração de Jesus)
310,Alvarães
311,Alvarenga
312,Álvares Florence
313,Álvares Machado
314,Álvaro de Carvalho
315,Alverne (Alagoinha)
316,Alvinlândia
317,Alvinópolis
318,Alvorada
319,Alvorada
320,Alvorada (Carangola)
321,Alvorada de Minas
322,Alvorada D'Oeste
323,Alvorada do Gurguéia
324,Alvorada do Iguaçu (Foz do Iguaçu)
325,Alvorada do Norte
326,Alvorada do Sul
327,Alvorada (Itaituba)
328,Alvorada (Uruará)
329,Amado Bahia (Mata de São João)
330,Amajari
331,Amambaí
332,Amanaiara (Reriutaba)
333,Amanari (Maranguape)
334,Amanda (Baldim)
335,Amandaba (Mirandópolis)
336,Amandina (Ivinhema)
337,Amanhece (Araguari)
338,Amaniú (Sento Sé)
339,Amaniutuba (Lavras da Mangabeira)
340,Amapá
341,Amapá do Maranhão
342,Amaporã
343,Amaraji
344,Amaral Ferrador
345,Amaralina
346,Amarante
347,Amarante do Maranhão
348,Amarantina (Ouro Preto)
349,Amarelas (Camocim)
350,Amargosa
351,Amaro (Assaré)
352,Amatari (Itacoatiara)
353,Amaturá
354,Ambé (Macapá)
355,Ameixas (Cumaru)
356,Amélia Rodrigues
357,América Dourada
358,América (Ipueiras)
359,Americana
360,Americano do Brasil
361,Americano (Santa Isabel do Pará)
362,Américo Alves (Sento Sé)
363,Américo Brasiliense
364,Américo de Campos
365,Ametista do Sul
366,Amolar (Corumbá)
367,Amontada
368,Amoras (Taquari)
369,Amorinha (Ibaiti)
370,Amorinópolis
371,Amparo
372,Amparo
373,Amparo da Serra
374,Amparo de São Francisco
375,Ampére
376,Anadia
377,Ana Dias (Itariri)
378,Anagé
379,Anahy
380,Anajanópolis (Pedro Afonso)
381,Anajás
382,Anajatuba
383,Analândia
384,Analândia do Norte (Peixoto de Azevedo)
385,Anamã
386,Ananás
